content_tape_id,content_tape_detail_name,tape_duration_sec,Seg_No,Segment_dur_min,Hour_num,content_start_time,content_start_time_seconds,Segment_Start_Time_in_Min,content_end_time,content_duration_sec,ad_duration_sec,promo_duration_sec,total_duration_sec,Segment_reach,Segment_reach_old
13202,Zcn Bhagam Bhag (U - Govinda),638,1,11,8.13,08:21:24.0000000,30084,493,11:38:14.0000000,9055,2362.173913,393.6956522,11810.86957,0.033,0.033
13202,Zcn Bhagam Bhag (U - Govinda),853,2,14,8.24,,,504,,,,,,0.1,0.1
13202,Zcn Bhagam Bhag (U - Govinda),630,3,11,8.38,,,518,,,,,,0.12,0.12
13202,Zcn Bhagam Bhag (U - Govinda),662,4,11,8.49,,,529,,,,,,0.13,0.13
13202,Zcn Bhagam Bhag (U - Govinda),764,5,13,9,,,540,,,,,,0.22,0.22
13202,Zcn Bhagam Bhag (U - Govinda),700,6,12,9.13,,,553,,,,,,0.24,0.24
13202,Zcn Bhagam Bhag (U - Govinda),736,7,12,9.25,,,565,,,,,,0.23,0.23
13202,Zcn Bhagam Bhag (U - Govinda),632,8,11,9.37,,,577,,,,,,0.13,0.13
13202,Zcn Bhagam Bhag (U - Govinda),630,9,11,9.48,,,588,,,,,,0.21,0.21
13202,Zcn Bhagam Bhag (U - Govinda),651,10,11,9.59,,,599,,,,,,0.15,0.15
13202,Zcn Bhagam Bhag (U - Govinda),787,11,13,10.1,,,610,,,,,,0.19,0.19
13202,Zcn Bhagam Bhag (U - Govinda),669,12,11,10.23,,,623,,,,,,0.18,0.18
13202,Zcn Bhagam Bhag (U - Govinda),703,13,12,10.34,,,634,,,,,,0.31,0.31
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,1166.96,1,19,10.46,11:38:14.0000000,41894,646,15:18:25.0000000,10128.56,2642.233043,440.3721739,13211.16522,0.36,0.36
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,990.96,2,17,11.05,,,665,,,,,,0.69,0.69
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,1327.96,3,22,11.22,,,682,,,,,,0.93,0.93
