SCHEDULE_DETAIL_ID,AIR_DATE,CONTENT_DURATION_SEC,PROMO_DURATION_SEC,AD_DURATION_SEC,CONTENT_START_TIME,CONTENT_END_TIME,CHANNEL_ID,SLOT_ID,SLOT_DESC,DOW_ID,DOW_CODE,CONTENT_TAPE_ID_1,CONTENT_ID,TAPE_NAME,TAPE_DURATION_SEC,CONTENT_NAME,CONTENT_TAPE_DETAIL_ID,CONTENT_TAPE_ID,CONTENT_TAPE_DETAIL_NAME,SEGMENT_DURATION_SEC,PART_NO,SEGMENT_NO,TAPE_ID,AD_DURATION,PROMO_DURATION
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12352,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,666.76,1,1,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12353,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,971.6,1,2,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12354,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,724.64,1,3,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12355,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,721.92,1,4,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12356,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,821.28,1,5,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12357,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,818.72,1,6,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12358,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,706.48,1,7,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12359,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,884.56,1,8,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12360,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,755.76,1,9,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12361,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,676,1,10,515745,900,60
176275,28-09-2019,8280,188.1818182,2822.727273,21.02.00,5.12.00,1,43,Subah 2,1,SAT,3664,503,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,8280,PHATA POSTER NIKLA HERO,12362,3664,ZCN PHATA POSTER NIKLA HERO(U-EDITED VER,557,1,11,515745,900,60
