schedule_detail_id,content_tape_detail_id,content_tape_id,segment_no,tape_duration_sec,Reach,break_sec,Time_hour,Total_Duration,start_sec,End_time,End_hour,start_time_in_time,end_time_in_time,promo_sec
56630,39419,12521,1,527.96,0.2708,168,8,695.96,31696,32391.96,8,8.48.16,8.59.51,0
56630,39420,12521,2,755.96,0.35205,420,8,1175.96,32391.96,33567.92,9,8.59.51,9.19.27,0
56630,39421,12521,3,787.96,0.3451,420,9,1207.96,33567.92,34775.88,9,9.19.27,9.39.35,0
56630,39422,12521,4,919.96,0.4075,0,9,919.96,34775.88,35695.84,9,9.39.35,9.54.55,0
56630,39423,12521,5,907.96,0.4321,420,9,1327.96,35695.84,37023.8,10,9.54.55,10.17.03,0
56630,39424,12521,6,750.96,0.3743,420,10,1170.96,37023.8,38194.76,10,10.17.03,10.36.34,0
56630,39425,12521,7,783.96,0.5071,0,10,783.96,38194.76,38978.72,10,10.36.34,10.49.38,0
56630,39426,12521,8,689.96,0.5866,420,10,1109.96,38978.72,40088.68,11,10.49.38,11.08.08,0
56630,39427,12521,9,527.96,0.53855,420,11,947.96,40088.68,41036.64,11,11.08.08,11.23.56,0
56630,39428,12521,10,726.96,0.6107,0,11,726.96,41036.64,41763.6,11,11.23.56,11.36.03,0
56630,39429,12521,11,632.96,0.62095,0,11,632.96,41763.6,42396.56,11,11.36.03,11.46.36,0
56630,39430,12521,12,581.96,0.69675,0,11,581.96,42396.56,42978.52,11,11.46.36,11.56.18,0
56630,39431,12521,13,708.96,0.9885,140,11,848.96,42978.52,43827.48,12,11.56.18,12.10.27,0
56631,12210,3629,1,964,1.2694,350,12,1314,43830,45144,12,12.10.30,12.32.24,0
56631,12211,3629,2,1113,1.67055,350,12,1463,45144,46607,12,12.32.24,12.56.47,0
56631,12212,3629,3,775,1.0953,420,12,1195,46607,47802,13,12.56.47,13.16.42,0
56631,12213,3629,4,760,1.0552,420,13,1180,47802,48982,13,13.16.42,13.36.22,0
56631,12214,3629,5,732,1.13905,0,13,732,48982,49714,13,13.36.22,13.48.34,0
56631,12215,3629,6,742,1.23135,0,13,742,49714,50456,14,13.48.34,14.00.56,0
56631,12216,3629,7,705,1.2418,0,14,705,50456,51161,14,14.00.56,14.12.41,0
56631,12217,3629,8,754,1.17155,406,14,1160,51161,52321,14,14.12.41,14.32.01,0
56631,12218,3629,9,562,1.13345,406,14,968,52321,53289,14,14.32.01,14.48.09,0
56631,12219,3629,10,654,1.1741,0,14,654,53289,53943,14,14.48.09,14.59.03,0
56632,29043,9140,1,968.84,1.41955,420,14,1388.84,53925,55313.84,15,14.58.45,15.21.53,0
56632,29044,9140,2,1012.04,1.36615,420,15,1432.04,55313.84,56745.88,15,15.21.53,15.45.45,0
56632,29045,9140,3,1049.88,1.23235,0,15,1049.88,56745.88,57795.76,16,15.45.45,16.03.15,0
56632,29046,9140,4,926.72,1.07035,0,16,926.72,57795.76,58722.48,16,16.03.15,16.18.42,0
56632,29047,9140,5,796.36,0.86445,420,16,1216.36,58722.48,59938.84,16,16.18.42,16.38.58,0
56632,29048,9140,1,612.08,0.6583,420,16,1032.08,59938.84,60970.92,16,16.38.58,16.56.10,0
56632,29049,9140,2,639.48,0.8293,0,16,639.48,60970.92,61610.4,17,16.56.10,17.06.50,0
56632,29050,9140,3,754.36,0.7566,0,17,754.36,61610.4,62364.76,17,17.06.50,17.19.24,0
56632,29051,9140,4,680.6,0.7348,420,17,1100.6,62364.76,63465.36,17,17.19.24,17.37.45,0
56632,29052,9140,5,671.8,0.7294,420,17,1091.8,63465.36,64557.16,17,17.37.45,17.55.57,0
56632,29053,9140,6,653.32,0.73005,0,17,653.32,64557.16,65210.48,18,17.55.57,18.06.50,0
56632,29054,9140,7,379.04,0.63615,238,18,617.04,65210.48,65827.52,18,18.06.50,18.17.07,0
56633,4087,1142,1,736,0.50355,301,18,1037,65852,66889,18,18.17.32,18.34.49,0
56633,4088,1142,2,790,0.5243,301,18,1091,66889,67980,18,18.34.49,18.53.00,0
56633,4089,1142,3,716,0.5123,420,18,1136,67980,69116,19,18.53.00,19.11.56,0
56633,4090,1142,4,638,0.4924,420,19,1058,69116,70174,19,19.11.56,19.29.34,0
56633,4091,1142,5,655,0.56975,0,19,655,70174,70829,19,19.29.34,19.40.29,0
56633,4092,1142,6,650,0.5558,0,19,650,70829,71479,19,19.40.29,19.51.19,0
56633,4093,1142,7,664,0.6586,420,19,1084,71479,72563,20,19.51.19,20.09.23,0
56633,4094,1142,8,625,0.5887,420,20,1045,72563,73608,20,20.09.23,20.26.48,0
56633,4095,1142,9,638,0.67,0,20,638,73608,74246,20,20.26.48,20.37.26,0
56633,4096,1142,10,801,0.8013,0,20,801,74246,75047,20,20.37.26,20.50.47,0
56633,4097,1142,11,561,0.87915,0,20,561,75047,75608,21,20.50.47,21.00.08,0
56634,39837,12615,1,902,0.9287,420,21,1322,75600,76922,21,21.00.00,21.22.02,0
56634,39838,12615,2,968,1.06075,420,21,1388,76922,78310,21,21.22.02,21.45.10,0
56634,39839,12615,3,753,1.24905,0,21,753,78310,79063,21,21.45.10,21.57.43,0
56634,39840,12615,4,777,1.3924,0,21,777,79063,79840,22,21.57.43,22.10.40,0
56634,39841,12615,5,755,1.4836,420,22,1175,79840,81015,22,22.10.40,22.30.15,0
56634,39842,12615,6,695,1.2397,420,22,1115,81015,82130,22,22.30.15,22.48.50,0
56634,39843,12615,7,685,1.01865,301,22,986,82130,83116,23,22.48.50,23.05.16,0
56634,39844,12615,8,821,1.233,0,23,821,83116,83937,23,23.05.16,23.18.57,0
56634,39845,12615,9,659,1.05995,301,23,960,83937,84897,23,23.18.57,23.34.57,0
56634,39846,12615,10,506,1.14455,0,23,506,84897,85403,23,23.34.57,23.43.23,0
56635,7979,2305,1,939.68,0.87325,0,23,939.68,85410,86349.68,23,23.43.30,23.59.09,0
56635,7980,2305,2,907.56,0.3864,420,23,1327.56,86349.68,87677.24,24,23.59.09,0.21.17,0
56635,7981,2305,3,917.52,0.39745,420,24,1337.52,87677.24,89014.76,24,0.21.17,0.43.34,0
56635,7982,2305,4,804.2,0.4056,0,24,804.2,89014.76,89818.96,24,0.43.34,0.56.58,0
56635,7983,2305,5,871.96,0.3687,420,24,1291.96,89818.96,91110.92,25,0.56.58,1.18.30,0
56635,7984,2305,6,819.2,0.3852,420,25,1239.2,91110.92,92350.12,25,1.18.30,1.39.10,0
56635,7985,2305,7,910.52,0.3887,238,25,1148.52,92350.12,93498.64,25,1.39.10,1.58.18,0
56635,7986,2305,8,746.04,0.4092,224,25,970.04,93498.64,94468.68,26,1.58.18,2.14.28,0
