content_tape_id,segment_no,tape_duration_sec,break_sec,promo_sec
11223.0,1.0,631.0,0.0,0
11223.0,2.0,614.0,350.00000000000006,0
11223.0,3.0,697.0,350.00000000000006,0
11223.0,4.0,684.0,420.0,0
11223.0,5.0,726.0,420.0,0
11223.0,6.0,691.0,0.0,0
11223.0,7.0,852.0,0.0,0
11223.0,8.0,892.0,224.0,0
11223.0,9.0,758.0,224.0,0
12521.0,1.0,527.96,392.0,0
12521.0,2.0,755.96,420.0,0
12521.0,3.0,787.96,420.0,0
12521.0,4.0,919.96,0.0,0
12521.0,5.0,907.96,0.0,0
12521.0,6.0,750.96,420.0,0
12521.0,7.0,783.96,420.0,0
12521.0,8.0,689.96,0.0,0
12521.0,9.0,527.96,0.0,0
12521.0,10.0,726.96,378.0,0
12521.0,11.0,632.96,0.0,0
12521.0,12.0,581.96,378.0,0
12521.0,13.0,708.96,0.0,0
3100.0,1.0,742.24,420.0,0
3100.0,2.0,838.08,420.0,0
3100.0,3.0,818.52,0.0,0
3100.0,4.0,846.64,420.0,0
3100.0,5.0,802.8,420.0,0
3100.0,6.0,877.4,0.0,0
3100.0,7.0,1182.84,0.0,0
3100.0,10.0,400.4,350.00000000000006,0
3100.0,8.0,998.48,84.0,0
3100.0,9.0,565.44,350.00000000000006,0
16555.0,1.0,931.0,0.0,0
16555.0,2.0,868.0,420.0,0
16555.0,3.0,725.0,420.0,0
16555.0,4.0,876.0,0.0,0
16555.0,5.0,639.0,0.0,0
16555.0,6.0,717.0,420.0,0
16555.0,7.0,695.0,0.0,0
16555.0,8.0,615.0,420.0,0
16555.0,9.0,535.0,398.99999999999994,0
16555.0,10.0,810.0,0.0,0
16555.0,11.0,500.0,398.99999999999994,0
16555.0,12.0,669.0,140.0,0
13393.0,1.0,1014.0,420.0,0
13393.0,2.0,803.0,420.0,0
13393.0,3.0,951.0,0.0,0
13393.0,4.0,969.0,0.0,0
13393.0,5.0,635.0,420.0,0
13393.0,6.0,690.0,420.0,0
13393.0,7.0,720.0,420.0,0
13393.0,8.0,774.0,0.0,0
13393.0,9.0,633.0,420.0,0
13393.0,10.0,603.0,0.0,0
13393.0,11.0,624.0,42.0,0
3609.0,1.0,747.96,420.0,0
3609.0,2.0,495.96,0.0,0
3609.0,3.0,651.96,420.0,0
3609.0,4.0,743.96,0.0,0
3609.0,5.0,629.96,0.0,0
3609.0,6.0,544.96,0.0,0
3609.0,7.0,772.96,420.0,0
3609.0,8.0,717.96,420.0,0
3609.0,9.0,650.96,0.0,0
3609.0,10.0,511.96,0.0,0
3609.0,11.0,627.96,336.00000000000006,0
3609.0,12.0,623.96,336.00000000000006,0
13367.0,1.0,923.0,0.0,0
13367.0,2.0,973.0,420.0,0
13367.0,3.0,836.0,420.0,0
13367.0,4.0,629.0,0.0,0
13367.0,5.0,842.0,420.0,0
13367.0,6.0,605.0,0.0,0
13367.0,7.0,717.0,168.0,0
13367.0,8.0,503.0,420.0,0
13367.0,9.0,662.0,210.0,0
13367.0,10.0,792.0,210.0,0
4935.0,1.0,992.16,448.0,0
4935.0,2.0,911.48,420.0,0
4935.0,3.0,1046.04,420.0,0
4935.0,4.0,1108.2,0.0,0
4935.0,5.0,1008.76,420.0,0
4935.0,6.0,1048.08,420.0,0
4935.0,7.0,995.2,0.0,0
4935.0,8.0,927.44,301.0,0
4935.0,9.0,916.04,301.0,0
6052.0,1.0,692.96,238.0,0
6052.0,2.0,764.96,420.0,0
6052.0,3.0,800.96,420.0,0
6052.0,4.0,750.96,0.0,0
6052.0,5.0,781.96,420.0,0
6052.0,6.0,666.96,420.0,0
6052.0,7.0,747.96,0.0,0
6052.0,8.0,733.96,0.0,0
6052.0,9.0,778.96,0.0,0
6052.0,10.0,649.96,301.0,0
6052.0,11.0,758.96,0.0,0
6052.0,12.0,177.96,301.0,0
7881.0,1.0,1191.96,420.0,0
7881.0,2.0,990.96,420.0,0
7881.0,3.0,1327.96,0.0,0
7881.0,4.0,690.96,420.0,0
7881.0,5.0,832.96,420.0,0
7881.0,6.0,853.96,0.0,0
7881.0,7.0,881.96,238.0,0
7881.0,8.0,826.96,420.0,0
7881.0,9.0,922.96,420.0,0
7881.0,10.0,910.96,161.0,0
7881.0,11.0,719.96,161.0,0
8476.0,1.0,896.96,518.0,0
8476.0,2.0,912.96,0.0,0
8476.0,3.0,707.96,420.0,0
8476.0,4.0,1072.96,420.0,0
8476.0,5.0,1008.96,0.0,0
8476.0,6.0,787.96,420.0,0
8476.0,7.0,934.96,0.0,0
8476.0,8.0,844.96,420.0,0
8476.0,9.0,957.96,0.0,0
8476.0,10.0,827.96,420.0,0
8476.0,11.0,750.96,420.0,0
8476.0,12.0,601.96,98.0,0
6119.0,1.0,858.56,371.0,0
6119.0,2.0,842.4,371.0,0
6119.0,3.0,944.36,420.0,0
6119.0,4.0,905.92,420.0,0
6119.0,5.0,899.56,0.0,0
6119.0,6.0,852.4,420.0,0
6119.0,7.0,898.52,0.0,0
6119.0,8.0,880.44,420.0,0
6119.0,9.0,852.52,0.0,0
10761.0,1.0,765.08,420.0,0
10761.0,2.0,713.44,420.0,0
10761.0,3.0,650.84,0.0,0
10761.0,4.0,821.0,420.0,0
10761.0,5.0,837.68,0.0,0
10761.0,6.0,694.48,0.0,0
10761.0,7.0,804.2,420.0,0
10761.0,8.0,651.8,0.0,0
10761.0,9.0,687.04,413.0,0
10761.0,10.0,894.88,0.0,0
10761.0,11.0,736.48,413.0,0
2305.0,1.0,939.68,0.0,0
2305.0,2.0,907.56,420.0,0
2305.0,3.0,917.52,420.0,0
2305.0,4.0,804.2,0.0,0
2305.0,5.0,871.96,420.0,0
2305.0,6.0,819.2,420.0,0
2305.0,7.0,910.52,0.0,0
2305.0,8.0,746.04,336.00000000000006,0
2305.0,9.0,873.96,336.00000000000006,0
12101.0,1.0,681.0,224.0,0
12101.0,2.0,761.0,420.0,0
12101.0,3.0,695.0,0.0,0
12101.0,4.0,817.0,420.0,0
12101.0,5.0,548.0,406.0,0
12101.0,6.0,648.0,0.0,0
12101.0,7.0,655.0,406.0,0
12101.0,8.0,611.0,0.0,0
12101.0,9.0,767.0,0.0,0
14610.0,1.0,699.96,420.0,0
14610.0,2.0,771.96,420.0,0
14610.0,3.0,851.96,0.0,0
14610.0,4.0,720.96,420.0,0
14610.0,5.0,678.96,420.0,0
14610.0,6.0,714.96,0.0,0
14610.0,7.0,921.96,0.0,0
14610.0,8.0,720.96,203.0,0
14610.0,9.0,856.96,203.0,0
1391.0,1.0,753.0,217.00000000000003,0
1391.0,2.0,613.0,217.00000000000003,0
1391.0,3.0,832.0,420.0,0
1391.0,4.0,720.0,0.0,0
1391.0,5.0,597.0,420.0,0
1391.0,6.0,696.0,0.0,0
1391.0,7.0,780.0,0.0,0
1391.0,8.0,820.0,420.0,0
1391.0,9.0,627.0,420.0,0
1391.0,10.0,795.0,84.00000000000001,0
6688.0,1.0,632.96,378.0,0
6688.0,2.0,755.96,0.0,0
6688.0,3.0,691.96,378.0,0
6688.0,4.0,697.96,0.0,0
6688.0,5.0,898.96,420.0,0
6688.0,6.0,954.96,420.0,0
6688.0,7.0,814.96,0.0,0
6688.0,8.0,802.96,0.0,0
6688.0,9.0,854.96,420.0,0
6688.0,10.0,570.96,420.0,0
6688.0,11.0,548.96,69.99999999999999,0
2625.0,1.0,929.0,0.0,0
2625.0,2.0,872.0,384.99999999999994,0
2625.0,11.0,661.0,384.99999999999994,0
2625.0,3.0,659.0,420.0,0
2625.0,4.0,612.0,420.0,0
2625.0,5.0,913.0,0.0,0
2625.0,6.0,616.0,0.0,0
2625.0,7.0,865.0,0.0,0
2625.0,8.0,688.0,420.0,0
2625.0,9.0,623.0,420.0,0
2625.0,10.0,632.0,0.0,0
6152.0,1.0,837.0,0.0,0
6152.0,2.0,920.0,0.0,0
6152.0,3.0,657.0,420.0,0
6152.0,4.0,651.0,420.0,0
6152.0,5.0,782.0,0.0,0
6152.0,6.0,725.0,420.0,0
6152.0,7.0,623.0,0.0,0
6152.0,8.0,736.0,420.0,0
6152.0,9.0,660.0,308.0,0
6152.0,10.0,567.0,308.0,0
6152.0,11.0,404.0,0.0,0
6152.0,12.0,795.0,238.0,0
2035.0,8.0,798.0,336.00000000000006,0
2035.0,9.0,785.0,420.0,0
2035.0,4.0,750.0,420.0,0
2035.0,5.0,755.0,0.0,0
2035.0,6.0,695.0,0.0,0
2035.0,7.0,725.0,420.0,0
2035.0,1.0,824.0,420.0,0
2035.0,2.0,730.0,0.0,0
2035.0,3.0,721.0,146.99999999999997,0
2035.0,10.0,830.0,146.99999999999997,0
8544.0,1.0,686.96,273.0,0
8544.0,2.0,703.96,273.0,0
8544.0,3.0,742.96,420.0,0
8544.0,4.0,717.96,420.0,0
8544.0,5.0,850.96,0.0,0
8544.0,6.0,781.96,0.0,0
8544.0,7.0,708.96,420.0,0
8544.0,8.0,906.96,420.0,0
8544.0,9.0,836.96,0.0,0
8544.0,10.0,654.96,413.0,0
8544.0,11.0,983.96,0.0,0
8544.0,12.0,540.96,413.0,0
8544.0,13.0,928.96,0.0,0
11820.0,1.0,1001.0,0.0,0
11820.0,2.0,859.0,420.0,0
11820.0,3.0,800.0,420.0,0
11820.0,4.0,684.0,0.0,0
11820.0,5.0,823.0,420.0,0
11820.0,6.0,600.0,420.0,0
11820.0,7.0,898.0,0.0,0
11820.0,8.0,743.0,0.0,0
11820.0,9.0,368.0,0.0,0
11820.0,10.0,418.0,357.0,0
11820.0,11.0,696.0,357.0,0
687.0,9.0,1008.0,0.0,0
687.0,10.0,555.0,420.0,0
687.0,1.0,747.0,0.0,0
687.0,2.0,599.0,420.0,0
687.0,3.0,606.0,0.0,0
687.0,4.0,679.0,0.0,0
687.0,5.0,633.0,420.0,0
687.0,6.0,607.0,420.0,0
687.0,7.0,915.0,126.0,0
687.0,8.0,848.0,308.0,0
687.0,11.0,759.0,308.0,0
10564.0,1.0,587.96,224.0,0
10564.0,2.0,630.96,420.0,0
10564.0,3.0,635.96,420.0,0
10564.0,4.0,551.96,0.0,0
10564.0,5.0,708.96,0.0,0
10564.0,6.0,765.96,420.0,0
10564.0,7.0,868.96,0.0,0
10564.0,8.0,625.96,420.0,0
10564.0,9.0,850.96,0.0,0
3325.0,1.0,708.96,420.0,0
3325.0,2.0,620.96,420.0,0
3325.0,3.0,716.96,0.0,0
3325.0,4.0,831.96,0.0,0
3325.0,5.0,666.96,420.0,0
3325.0,6.0,631.96,0.0,0
3325.0,7.0,653.96,0.0,0
3325.0,8.0,683.96,420.0,0
3325.0,9.0,564.96,0.0,0
3325.0,10.0,689.96,0.0,0
3325.0,11.0,635.96,398.99999999999994,0
3325.0,12.0,774.96,398.99999999999994,0
10902.0,1.0,1059.8,420.0,0
10902.0,2.0,969.08,420.0,0
10902.0,3.0,1143.72,420.0,0
10902.0,1.0,1012.12,420.0,0
10902.0,2.0,1050.64,42.0,0
10902.0,3.0,1035.6,196.0,0
10223.0,1.0,659.96,384.99999999999994,0
10223.0,2.0,746.96,0.0,0
10223.0,3.0,636.96,384.99999999999994,0
10223.0,4.0,676.96,0.0,0
10223.0,5.0,714.96,0.0,0
10223.0,6.0,622.96,420.0,0
10223.0,7.0,717.96,420.0,0
10223.0,8.0,726.96,133.0,0
10223.0,9.0,703.96,133.0,0
3664.0,1.0,666.76,0.0,0
3664.0,2.0,971.6,420.0,0
3664.0,3.0,724.64,420.0,0
3664.0,4.0,721.92,0.0,0
3664.0,5.0,821.28,420.0,0
3664.0,6.0,818.72,420.0,0
3664.0,7.0,706.48,0.0,0
3664.0,8.0,884.56,343.0,0
3664.0,9.0,755.76,0.0,0
3664.0,10.0,676.0,154.0,0
3664.0,11.0,557.0,343.0,0
2791.0,1.0,872.28,420.0,0
2791.0,2.0,940.84,420.0,0
2791.0,3.0,1017.84,0.0,0
2791.0,4.0,921.72,420.0,0
2791.0,5.0,950.32,420.0,0
2791.0,6.0,854.24,0.0,0
2791.0,7.0,913.64,154.0,0
2791.0,8.0,736.0,301.0,0
2791.0,9.0,794.08,301.0,0
11181.0,1.0,758.0,238.0,0
11181.0,2.0,688.0,420.0,0
11181.0,3.0,601.0,420.0,0
11181.0,4.0,790.0,0.0,0
11181.0,5.0,624.0,0.0,0
11181.0,6.0,667.0,0.0,0
11181.0,7.0,602.0,420.0,0
11181.0,8.0,631.0,420.0,0
11181.0,9.0,806.0,0.0,0
11181.0,10.0,772.0,182.0,0
11181.0,11.0,553.0,182.0,0
6331.0,1.0,721.96,238.0,0
6331.0,2.0,617.96,238.0,0
6331.0,3.0,779.96,0.0,0
6331.0,4.0,849.96,420.0,0
6331.0,5.0,898.96,420.0,0
6331.0,6.0,1071.96,420.0,0
6331.0,7.0,891.96,420.0,0
6331.0,8.0,1337.96,0.0,0
6331.0,9.0,905.96,420.0,0
6331.0,10.0,931.96,420.0,0
6331.0,11.0,917.96,0.0,0
6331.0,12.0,620.96,210.0,0
1930.0,1.0,678.0,315.0,0
1930.0,2.0,844.0,315.0,0
1930.0,3.0,699.0,420.0,0
1930.0,4.0,853.0,420.0,0
1930.0,5.0,889.0,0.0,0
1930.0,6.0,583.0,0.0,0
1930.0,7.0,682.0,420.0,0
1930.0,8.0,668.0,420.0,0
1930.0,9.0,996.0,0.0,0
1930.0,10.0,677.0,0.0,0
4162.0,1.0,742.0,420.0,0
4162.0,2.0,709.0,0.0,0
4162.0,3.0,713.0,420.0,0
4162.0,4.0,867.0,0.0,0
4162.0,5.0,636.0,420.0,0
4162.0,6.0,662.0,0.0,0
4162.0,7.0,793.0,420.0,0
4162.0,8.0,806.0,0.0,0
4162.0,9.0,970.0,420.0,0
4162.0,10.0,838.0,420.0,0
4162.0,11.0,805.0,69.99999999999999,0
1833.0,6.0,733.96,301.0,0
1833.0,7.0,683.96,301.0,0
1833.0,8.0,629.96,420.0,0
1833.0,9.0,657.96,420.0,0
1833.0,11.0,670.96,0.0,0
1833.0,1.0,684.96,0.0,0
1833.0,2.0,780.96,420.0,0
1833.0,3.0,742.96,0.0,0
1833.0,4.0,778.96,420.0,0
1833.0,5.0,608.96,0.0,0
1833.0,10.0,514.96,0.0,0
12646.0,1.0,924.0,420.0,0
12646.0,2.0,792.0,0.0,0
12646.0,3.0,756.0,420.0,0
12646.0,4.0,773.0,0.0,0
12646.0,5.0,912.0,420.0,0
12646.0,6.0,762.0,420.0,0
